Id,Trimestre
1,1er trimestre 2017
2,2do trimestre 2017
3,3er trimestre 2017
4,4to trimestre 2017
5,1er trimestre 2018
6,2do trimestre 2018
7,3er trimestre 2018
8,4to trimestre 2018
9,1er trimestre 2019
10,2do trimestre 2019
11,3er trimestre 2019
12,4to trimestre 2019
13,1er trimestre 2020
14,2do trimestre 2020
15,3er trimestre 2020
16,4to trimestre 2020
17,1er trimestre 2021
18,2do trimestre 2021
19,3er trimestre 2021
20,4to trimestre 2021
21,1er trimestre 2022
22,2do trimestre 2022
23,3er trimestre 2022
24,4to trimestre 2022
25,1er trimestre 2023
26,2do trimestre 2023
27,3er trimestre 2023
28,4to trimestre 2023
29,1er trimestre 2024
999,Sin datos
